x_rel,y_rel,x_abs,res
230.0,48.0,8313.960144927536 Hz,low
231.0,48.0,8349.833333333334 Hz,low
232.0,48.5,8385.70652173913 Hz,low
233.0,48.5,8421.579710144928 Hz,low
234.0,48.0,8457.452898550724 Hz,low
235.0,48.0,8493.326086956522 Hz,low
236.0,47.5,8529.199275362318 Hz,low
237.0,48.0,8565.072463768116 Hz,low
238.0,48.0,8600.945652173914 Hz,low
239.0,48.0,8636.81884057971 Hz,low
240.0,48.0,8672.692028985508 Hz,low
241.0,48.0,8708.565217391304 Hz,low
242.0,48.0,8744.438405797102 Hz,low
243.0,48.0,8780.311594202898 Hz,low
244.0,48.5,8816.184782608696 Hz,low
245.0,48.5,8852.057971014492 Hz,low
246.0,48.5,8887.93115942029 Hz,low
247.0,48.5,8923.804347826086 Hz,low
248.0,48.5,8959.677536231884 Hz,low
249.0,48.0,8995.550724637682 Hz,low
250.0,48.5,9031.423913043478 Hz,low
251.0,48.0,9067.297101449276 Hz,low
252.0,48.0,9103.170289855072 Hz,low
253.0,47.5,9139.04347826087 Hz,low
254.0,48.0,9174.916666666666 Hz,low
255.0,48.0,9210.789855072464 Hz,low
256.0,48.5,9246.66304347826 Hz,low
257.0,48.5,9282.536231884058 Hz,low
258.0,47.5,9318.409420289856 Hz,low
259.0,48.0,9354.282608695652 Hz,low
260.0,47.5,9390.15579710145 Hz,low
261.0,47.5,9426.028985507246 Hz,low
262.0,48.5,9461.902173913044 Hz,low
263.0,47.5,9497.77536231884 Hz,low
264.0,48.0,9533.648550724638 Hz,low
265.0,48.0,9569.521739130434 Hz,low
266.0,48.5,9605.394927536232 Hz,low
267.0,48.0,9641.26811594203 Hz,low
268.0,48.0,9677.141304347826 Hz,low
269.0,48.0,9713.014492753624 Hz,low
270.0,48.0,9748.88768115942 Hz,low
271.0,48.0,9784.760869565218 Hz,low
272.0,48.0,9820.634057971014 Hz,low
273.0,48.0,9856.507246376812 Hz,low
274.0,48.5,9892.380434782608 Hz,low
275.0,48.5,9928.253623188406 Hz,low
276.0,48.5,9964.126811594202 Hz,low
277.0,48.5,10000.0 Hz,low
6.117965478742407,47.75,282.59773987329197 Hz,med
6.621187870551597,48.0,300.64993154467885 Hz,med
7.1244102623607874,48.0,318.7021232160658 Hz,med
7.627632654169978,48.5,336.7543148874527 Hz,med
8.13085504597917,49.0,354.8065065588397 Hz,med
8.63407743778836,49.0,372.85869823022665 Hz,med
9.137299829597548,49.0,390.91088990161353 Hz,med
9.640522221406739,49.0,408.96308157300047 Hz,med
10.14374461321593,49.5,427.0152732443874 Hz,med
10.64696700502512,49.5,445.06746491577434 Hz,med
11.15018939683431,49.0,463.1196565871613 Hz,med
11.653411788643501,48.5,481.1718482585482 Hz,med
12.156634180452691,48.5,499.22403992993515 Hz,med
12.65985657226188,48.5,517.276231601322 Hz,med
13.16307896407107,48.5,535.328423272709 Hz,med
13.666301355880261,49.5,553.3806149440959 Hz,med
14.169523747689452,49.5,571.4328066154828 Hz,med
14.672746139498642,50.0,589.4849982868698 Hz,med
15.175968531307833,50.0,607.5371899582567 Hz,med
15.679190923117023,49.5,625.5893816296436 Hz,med
16.18241331492621,49.0,643.6415733010305 Hz,med
16.685635706735404,49.0,661.6937649724175 Hz,med
17.188858098544593,49.0,679.7459566438044 Hz,med
17.692080490353785,49.5,697.7981483151914 Hz,med
18.195302882162974,49.5,715.8503399865783 Hz,med
18.698525273972162,49.5,733.9025316579651 Hz,med
19.201747665781355,51.0,751.9547233293522 Hz,med
19.704970057590543,52.5,770.006915000739 Hz,med
20.208192449399736,53.0,788.0591066721261 Hz,med
20.711414841208924,52.5,806.1112983435129 Hz,med
21.214637233018113,52.0,824.1634900148998 Hz,med
21.717859624827305,52.0,842.2156816862868 Hz,med
22.221082016636494,51.5,860.2678733576737 Hz,med
22.724304408445686,51.0,878.3200650290606 Hz,med
23.227526800254875,50.5,896.3722567004476 Hz,med
23.730749192064067,51.0,914.4244483718345 Hz,med
24.233971583873256,52.0,932.4766400432214 Hz,med
24.737193975682445,52.5,950.5288317146083 Hz,med
25.240416367491637,53.0,968.5810233859953 Hz,med
25.743638759300826,54.0,986.6332150573821 Hz,med
26.246861151110018,54.0,1004.6854067287692 Hz,med
26.750083542919207,53.0,1022.737598400156 Hz,med
27.2533059347284,52.0,1040.789790071543 Hz,med
27.756528326537588,51.0,1058.8419817429299 Hz,med
28.259750718346776,50.5,1076.8941734143168 Hz,med
28.76297311015597,50.5,1094.9463650857037 Hz,med
29.266195501965157,50.5,1112.9985567570907 Hz,med
29.76941789377435,51.5,1131.0507484284776 Hz,med
30.272640285583538,52.0,1149.1029400998646 Hz,med
30.77586267739273,52.5,1167.1551317712515 Hz,med
31.27908506920192,53.0,1185.2073234426384 Hz,med
31.782307461011108,52.19999999999999,1203.2595151140254 Hz,med
32.2855298528203,52.0,1221.311706785412 Hz,med
32.78875224462949,51.0,1239.3638984567992 Hz,med
33.29197463643868,49.5,1257.4160901281862 Hz,med
33.79519702824787,49.0,1275.468281799573 Hz,med
34.29841942005706,49.0,1293.5204734709598 Hz,med
34.801641811866254,49.0,1311.572665142347 Hz,med
35.30486420367544,49.5,1329.624856813734 Hz,med
35.80808659548463,50.5,1347.6770484851208 Hz,med
36.31130898729382,51.0,1365.7292401565076 Hz,med
36.81453137910301,50.5,1383.7814318278945 Hz,med
37.317753770912205,49.5,1401.8336234992817 Hz,med
37.820976162721394,49.0,1419.8858151706686 Hz,med
38.32419855453058,48.5,1437.9380068420555 Hz,med
38.82742094633977,48.0,1455.9901985134422 Hz,med
39.33064333814896,48.0,1474.0423901848292 Hz,med
39.833865729958156,48.0,1492.0945818562163 Hz,med
40.337088121767344,48.5,1510.1467735276033 Hz,med
40.84031051357653,48.5,1528.19896519899 Hz,med
41.34353290538572,48.5,1546.251156870377 Hz,med
41.84675529719491,48.5,1564.3033485417639 Hz,med
42.349977689004106,48.5,1582.355540213151 Hz,med
42.853200080813295,48.5,1600.4077318845377 Hz,med
43.356422472622484,48.5,1618.4599235559247 Hz,med
43.85964486443167,48.5,1636.5121152273116 Hz,med
44.36286725624087,48.5,1654.5643068986988 Hz,med
44.86608964805006,48.0,1672.6164985700855 Hz,med
45.369312039859246,48.0,1690.6686902414724 Hz,med
45.872534431668434,47.5,1708.7208819128593 Hz,med
46.37575682347762,48.0,1726.7730735842463 Hz,med
46.87897921528682,48.0,1744.8252652556332 Hz,med
47.38220160709601,48.0,1762.8774569270201 Hz,med
47.885423998905196,48.0,1780.929648598407 Hz,med
48.388646390714385,48.0,1798.981840269794 Hz,med
48.891868782523574,48.0,1817.0340319411807 Hz,med
49.39509117433277,48.0,1835.086223612568 Hz,med
49.89831356614196,48.5,1853.1384152839548 Hz,med
50.40153595795115,48.5,1871.1906069553418 Hz,med
50.904758349760336,48.5,1889.2427986267285 Hz,med
51.40798074156953,48.0,1907.2949902981156 Hz,med
51.91120313337872,48.0,1925.3471819695026 Hz,med
52.41442552518791,48.0,1943.3993736408895 Hz,med
52.9176479169971,48.0,1961.4515653122762 Hz,med
53.420870308806286,48.0,1979.5037569836632 Hz,med
53.92409270061548,47.5,1997.5559486550503 Hz,med
54.42731509242467,47.5,2015.6081403264373 Hz,med
54.93053748423386,47.5,2033.660331997824 Hz,med
55.43375987604305,47.5,2051.712523669211 Hz,med
55.93698226785224,48.5,2069.764715340598 Hz,med
56.44020465966143,47.5,2087.8169070119848 Hz,med
56.94342705147062,47.5,2105.8690986833717 Hz,med
57.44664944327981,48.0,2123.9212903547586 Hz,med
57.949871835089,48.0,2141.9734820261456 Hz,med
58.453094226898195,47.5,2160.0256736975325 Hz,med
58.95631661870738,47.5,2178.0778653689194 Hz,med
59.45953901051657,48.5,2196.1300570403064 Hz,med
59.96276140232576,48.5,2214.1822487116933 Hz,med
60.46598379413495,48.5,2232.2344403830803 Hz,med
60.969206185944145,48.0,2250.286632054467 Hz,med
61.472428577753334,48.0,2268.338823725854 Hz,med
61.97565096956252,48.0,2286.391015397241 Hz,med
62.47887336137171,47.5,2304.443207068628 Hz,med
62.9820957531809,48.0,2322.495398740015 Hz,med
63.485318144990096,47.5,2340.547590411402 Hz,med
63.988540536799285,48.5,2358.599782082789 Hz,med
64.49176292860848,48.5,2376.6519737541757 Hz,med
64.99498532041767,48.5,2394.7041654255627 Hz,med
65.49820771222686,48.0,2412.7563570969496 Hz,med
66.00143010403605,48.0,2430.8085487683365 Hz,med
66.50465249584524,48.5,2448.8607404397235 Hz,med
67.00787488765442,48.0,2466.9129321111104 Hz,med
67.51109727946361,48.5,2484.9651237824974 Hz,med
68.0143196712728,47.5,2503.0173154538843 Hz,med
68.51754206308199,48.0,2521.069507125271 Hz,med
69.0207644548912,49.0,2539.121698796658 Hz,med
69.52398684670038,49.0,2557.173890468045 Hz,med
70.02720923850957,49.0,2575.226082139432 Hz,med
70.53043163031876,49.0,2593.278273810819 Hz,med
71.03365402212795,49.0,2611.330465482206 Hz,med
71.53687641393714,48.5,2629.382657153593 Hz,med
72.04009880574633,48.5,2647.43484882498 Hz,med
72.54332119755551,48.5,2665.4870404963663 Hz,med
73.0465435893647,48.5,2683.539232167753 Hz,med
73.54976598117389,48.0,2701.59142383914 Hz,med
74.0529883729831,47.5,2719.6436155105275 Hz,med
74.55621076479228,48.5,2737.6958071819145 Hz,med
75.05943315660147,48.5,2755.7479988533014 Hz,med
75.56265554841066,48.5,2773.8001905246883 Hz,med
76.06587794021985,48.0,2791.8523821960753 Hz,med
76.56910033202904,47.5,2809.9045738674617 Hz,med
77.07232272383823,47.5,2827.9567655388487 Hz,med
77.57554511564742,48.0,2846.0089572102356 Hz,med
78.0787675074566,48.0,2864.0611488816226 Hz,med
78.5819898992658,47.5,2882.11334055301 Hz,med
79.085212291075,48.0,2900.165532224397 Hz,med
79.58843468288418,48.0,2918.217723895784 Hz,med
80.09165707469337,48.5,2936.2699155671708 Hz,med
80.59487946650256,48.5,2954.3221072385577 Hz,med
81.09810185831175,48.5,2972.374298909944 Hz,med
81.60132425012094,48.5,2990.426490581331 Hz,med
82.10454664193013,48.0,3008.478682252718 Hz,med
82.60776903373932,48.0,3026.530873924105 Hz,med
83.11099142554852,48.0,3044.5830655954924 Hz,med
83.61421381735771,48.0,3062.6352572668793 Hz,med
84.1174362091669,48.0,3080.6874489382662 Hz,med
84.62065860097609,48.5,3098.739640609653 Hz,med
85.12388099278527,49.5,3116.7918322810397 Hz,med
85.62710338459446,52.22222222222223,3134.8440239524266 Hz,med
86.13032577640365,55.5,3152.8962156238135 Hz,med
86.63354816821284,62.61538461538461,3170.9484072952005 Hz,med
87.13677056002203,77.92307692307693,3189.0005989665874 Hz,med
87.63999295183122,98.525,3207.0527906379743 Hz,med
88.14321534364042,109.12048192771084,3225.1049823093617 Hz,med
88.64643773544961,122.3529411764706,3243.1571739807487 Hz,med
89.1496601272588,126.20967741935483,3261.209365652135 Hz,med
89.65288251906799,141.0,3279.261557323522 Hz,med
90.15610491087718,137.0,3297.313748994909 Hz,med
90.65932730268636,135.5,3315.365940666296 Hz,med
91.16254969449555,126.9,3333.418132337683 Hz,med
91.66577208630474,130.1290322580645,3351.47032400907 Hz,med
92.16899447811393,144.5689655172414,3369.5225156804568 Hz,med
92.67221686992313,149.0,3387.574707351844 Hz,med
93.17543926173232,155.5,3405.626899023231 Hz,med
93.67866165354151,155.5,3423.6790906946176 Hz,med
94.1818840453507,149.5,3441.7312823660045 Hz,med
94.68510643715989,145.51612903225805,3459.7834740373914 Hz,med
95.18832882896908,133.05128205128204,3477.8356657087784 Hz,med
95.69155122077827,120.71428571428571,3495.8878573801653 Hz,med
96.19477361258745,125.1304347826087,3513.9400490515523 Hz,med
96.69799600439664,130.5,3531.992240722939 Hz,med
97.20121839620583,141.06382978723406,3550.0444323943257 Hz,med
97.70444078801503,148.0,3568.096624065713 Hz,med
98.20766317982422,149.9512195121951,3586.1488157371 Hz,med
98.71088557163341,156.0,3604.201007408487 Hz,med
99.2141079634426,160.0,3622.253199079874 Hz,med
99.71733035525179,157.08695652173913,3640.305390751261 Hz,med
100.22055274706098,150.5,3658.3575824226477 Hz,med
100.72377513887017,142.0,3676.4097740940347 Hz,med
101.22699753067936,132.5,3694.461965765421 Hz,med
101.73021992248854,126.5,3712.514157436808 Hz,med
102.23344231429775,119.05405405405405,3730.5663491081955 Hz,med
102.73666470610694,117.5,3748.6185407795824 Hz,med
103.23988709791612,111.0,3766.6707324509694 Hz,med
103.74310948972531,106.0,3784.7229241223563 Hz,med
104.2463318815345,102.5,3802.775115793743 Hz,med
104.74955427334369,107.0,3820.82730746513 Hz,med
105.25277666515288,108.25,3838.879499136517 Hz,med
105.75599905696207,105.95652173913044,3856.9316908079036 Hz,med
106.25922144877126,102.0,3874.9838824792905 Hz,med
106.76244384058046,100.5,3893.036074150678 Hz,med
107.26566623238965,99.5,3911.088265822065 Hz,med
107.76888862419884,94.5,3929.140457493452 Hz,med
108.27211101600803,87.0,3947.1926491648387 Hz,med
108.77533340781721,87.0,3965.2448408362256 Hz,med
109.2785557996264,76.5,3983.2970325076126 Hz,med
109.78177819143559,74.44444444444446,4001.349224178999 Hz,med
110.28500058324478,70.0,4019.401415850386 Hz,med
110.78822297505397,60.5,4037.453607521773 Hz,med
111.29144536686316,58.0,4055.50579919316 Hz,med
111.79466775867236,57.5,4073.5579908645473 Hz,med
112.29789015048155,53.5,4091.610182535934 Hz,med
112.80111254229074,51.5,4109.662374207321 Hz,med
113.30433493409993,51.0,4127.7145658787085 Hz,med
113.80755732590912,49.5,4145.766757550095 Hz,med
114.3107797177183,48.5,4163.8189492214815 Hz,med
114.8140021095275,47.5,4181.871140892868 Hz,med
115.31722450133668,48.5,4199.923332564255 Hz,med
115.82044689314587,48.5,4217.975524235642 Hz,med
116.32366928495507,48.0,4236.027715907029 Hz,med
116.82689167676426,48.0,4254.079907578416 Hz,med
117.33011406857345,48.0,4272.132099249803 Hz,med
117.83333646038264,48.0,4290.18429092119 Hz,med
118.33655885219183,48.5,4308.236482592577 Hz,med
118.83978124400102,48.0,4326.288674263964 Hz,med
119.3430036358102,47.0,4344.340865935351 Hz,med
119.8462260276194,46.5,4362.393057606738 Hz,med
120.34944841942858,47.0,4380.445249278125 Hz,med
120.85267081123779,47.5,4398.497440949512 Hz,med
121.35589320304697,47.5,4416.549632620899 Hz,med
121.85911559485616,47.5,4434.6018242922855 Hz,med
122.36233798666535,47.5,4452.6540159636725 Hz,med
122.86556037847454,48.0,4470.706207635059 Hz,med
123.36878277028373,47.5,4488.758399306446 Hz,med
123.87200516209292,48.5,4506.810590977833 Hz,med
124.3752275539021,48.0,4524.86278264922 Hz,med
124.8784499457113,48.0,4542.914974320607 Hz,med
125.38167233752048,47.5,4560.967165991994 Hz,med
125.88489472932969,47.5,4579.019357663381 Hz,med
126.38811712113888,48.5,4597.071549334768 Hz,med
126.89133951294806,48.5,4615.123741006155 Hz,med
127.39456190475725,48.5,4633.175932677542 Hz,med
127.89778429656644,48.5,4651.228124348929 Hz,med
128.40100668837565,48.5,4669.280316020317 Hz,med
128.90422908018482,48.5,4687.332507691703 Hz,med
129.407451471994,48.5,4705.384699363089 Hz,med
129.9106738638032,48.0,4723.4368910344765 Hz,med
130.41389625561237,48.0,4741.4890827058625 Hz,med
130.91711864742157,48.0,4759.54127437725 Hz,med
131.42034103923075,48.5,4777.593466048636 Hz,med
131.92356343103995,48.5,4795.645657720024 Hz,med
132.42678582284913,48.0,4813.69784939141 Hz,med
132.93000821465833,48.0,4831.750041062797 Hz,med
133.43323060646753,48.0,4849.802232734185 Hz,med
133.9364529982767,48.0,4867.854424405571 Hz,med
134.4396753900859,48.0,4885.906616076959 Hz,med
134.94289778189508,48.0,4903.958807748345 Hz,med
135.4461201737043,48.0,4922.010999419733 Hz,med
135.94934256551346,48.5,4940.063191091119 Hz,med
136.45256495732266,48.0,4958.115382762506 Hz,med
136.95578734913184,48.0,4976.167574433893 Hz,med
137.45900974094104,47.5,4994.21976610528 Hz,med
137.96223213275024,47.5,5012.2719577766675 Hz,med
138.46545452455942,48.0,5030.3241494480535 Hz,med
138.96867691636862,48.0,5048.376341119441 Hz,med
139.4718993081778,47.5,5066.428532790827 Hz,med
139.975121699987,48.0,5084.480724462215 Hz,med
140.47834409179617,48.0,5102.532916133601 Hz,med
140.98156648360538,48.0,5120.585107804988 Hz,med
141.48478887541455,48.0,5138.637299476375 Hz,med
141.98801126722375,48.0,5156.689491147762 Hz,med
142.49123365903296,47.5,5174.74168281915 Hz,med
142.99445605084213,48.0,5192.793874490536 Hz,med
143.49767844265133,48.5,5210.846066161924 Hz,med
144.0009008344605,48.0,5228.89825783331 Hz,med
144.5041232262697,48.5,5246.950449504697 Hz,med
145.0073456180789,48.0,5265.002641176084 Hz,med
145.5105680098881,48.0,5283.054832847471 Hz,med
84.74983491544342,48.5,3103.373606876106 Hz,high
84.85319107062251,48.5,3107.081321703745 Hz,high
84.95654722580161,48.5,3110.7890365313833 Hz,high
85.0599033809807,48.5,3114.4967513590213 Hz,high
85.1632595361598,49.0,3118.20446618666 Hz,high
85.2666156913389,49.5,3121.9121810142988 Hz,high
85.36997184651798,50.0,3125.619895841937 Hz,high
85.47332800169708,50.0,3129.3276106695753 Hz,high
85.57668415687618,50.0,3133.035325497214 Hz,high
85.68004031205527,50.5,3136.7430403248522 Hz,high
85.78339646723437,51.0,3140.4507551524907 Hz,high
85.88675262241347,51.0,3144.1584699801297 Hz,high
85.99010877759255,52.0,3147.8661848077677 Hz,high
86.09346493277165,52.0,3151.573899635406 Hz,high
