x_rel,y_rel,x_abs,res
130.0,48.5,4709.935018050542 Hz,low
131.0,48.0,4745.678700361012 Hz,low
132.0,48.5,4781.422382671481 Hz,low
133.0,48.0,4817.16606498195 Hz,low
134.0,48.0,4852.9097472924195 Hz,low
135.0,47.5,4888.6534296028885 Hz,low
136.0,47.5,4924.397111913358 Hz,low
137.0,47.5,4960.1407942238275 Hz,low
138.0,47.5,4995.8844765342965 Hz,low
139.0,48.0,5031.6281588447655 Hz,low
140.0,48.0,5067.371841155235 Hz,low
141.0,47.5,5103.115523465704 Hz,low
142.0,48.0,5138.859205776173 Hz,low
143.0,49.0,5174.602888086643 Hz,low
144.0,48.0,5210.346570397112 Hz,low
145.0,48.0,5246.090252707581 Hz,low
146.0,48.0,5281.833935018051 Hz,low
147.0,48.0,5317.57761732852 Hz,low
148.0,48.0,5353.321299638989 Hz,low
149.0,48.0,5389.064981949459 Hz,low
150.0,48.5,5424.808664259928 Hz,low
151.0,48.0,5460.552346570397 Hz,low
152.0,48.0,5496.296028880867 Hz,low
153.0,48.0,5532.039711191336 Hz,low
154.0,48.0,5567.783393501805 Hz,low
155.0,48.0,5603.527075812275 Hz,low
156.0,49.0,5639.270758122744 Hz,low
157.0,49.0,5675.014440433213 Hz,low
158.0,48.5,5710.758122743683 Hz,low
159.0,48.5,5746.501805054152 Hz,low
160.0,48.5,5782.245487364621 Hz,low
161.0,48.5,5817.989169675091 Hz,low
162.0,47.5,5853.73285198556 Hz,low
163.0,48.0,5889.476534296029 Hz,low
164.0,47.5,5925.220216606499 Hz,low
165.0,47.5,5960.963898916968 Hz,low
166.0,48.0,5996.707581227437 Hz,low
167.0,48.0,6032.451263537907 Hz,low
168.0,48.5,6068.194945848376 Hz,low
169.0,48.5,6103.938628158845 Hz,low
170.0,48.400000000000006,6139.682310469315 Hz,low
171.0,48.0,6175.425992779784 Hz,low
172.0,48.5,6211.169675090253 Hz,low
173.0,48.0,6246.913357400723 Hz,low
174.0,48.0,6282.657039711192 Hz,low
175.0,48.0,6318.400722021661 Hz,low
176.0,48.0,6354.144404332131 Hz,low
177.0,48.5,6389.8880866426 Hz,low
178.0,50.0,6425.631768953069 Hz,low
179.0,50.5,6461.375451263539 Hz,low
180.0,50.5,6497.119133574008 Hz,low
181.0,51.0,6532.862815884477 Hz,low
182.0,51.5,6568.606498194947 Hz,low
183.0,52.0,6604.350180505416 Hz,low
184.0,52.5,6640.093862815885 Hz,low
185.0,52.5,6675.837545126355 Hz,low
186.0,52.5,6711.581227436824 Hz,low
187.0,50.5,6747.324909747293 Hz,low
188.0,50.0,6783.0685920577625 Hz,low
189.0,49.0,6818.812274368232 Hz,low
190.0,49.0,6854.555956678701 Hz,low
191.0,50.0,6890.2996389891705 Hz,low
192.0,50.5,6926.0433212996395 Hz,low
193.0,50.5,6961.7870036101085 Hz,low
194.0,51.0,6997.530685920578 Hz,low
195.0,51.0,7033.274368231047 Hz,low
196.0,49.571428571428584,7069.018050541517 Hz,low
197.0,49.5,7104.761732851986 Hz,low
198.0,49.0,7140.505415162455 Hz,low
199.0,49.0,7176.249097472925 Hz,low
200.0,48.0,7211.992779783394 Hz,low
201.0,48.0,7247.736462093863 Hz,low
202.0,48.0,7283.480144404333 Hz,low
203.0,48.0,7319.223826714802 Hz,low
204.0,48.0,7354.967509025271 Hz,low
205.0,48.0,7390.711191335741 Hz,low
206.0,48.0,7426.45487364621 Hz,low
207.0,48.0,7462.198555956679 Hz,low
208.0,49.0,7497.942238267149 Hz,low
209.0,49.5,7533.685920577618 Hz,low
210.0,48.5,7569.429602888087 Hz,low
211.0,48.5,7605.173285198557 Hz,low
212.0,48.0,7640.916967509026 Hz,low
213.0,47.5,7676.660649819495 Hz,low
214.0,47.5,7712.404332129965 Hz,low
215.0,48.0,7748.148014440434 Hz,low
216.0,48.0,7783.891696750903 Hz,low
217.0,48.0,7819.635379061373 Hz,low
218.0,47.5,7855.379061371842 Hz,low
219.0,47.5,7891.122743682311 Hz,low
220.0,47.5,7926.866425992781 Hz,low
221.0,47.5,7962.61010830325 Hz,low
222.0,48.0,7998.353790613719 Hz,low
223.0,47.5,8034.097472924189 Hz,low
224.0,48.0,8069.841155234658 Hz,low
225.0,48.0,8105.584837545127 Hz,low
226.0,48.5,8141.328519855597 Hz,low
227.0,48.0,8177.072202166066 Hz,low
228.0,48.0,8212.815884476535 Hz,low
229.0,48.5,8248.559566787004 Hz,low
230.0,47.85714285714286,8284.303249097473 Hz,low
231.0,47.71428571428572,8320.046931407944 Hz,low
232.0,48.28571428571428,8355.790613718413 Hz,low
233.0,48.5,8391.534296028882 Hz,low
234.0,48.5,8427.27797833935 Hz,low
235.0,48.0,8463.02166064982 Hz,low
236.0,48.0,8498.765342960289 Hz,low
237.0,49.0,8534.50902527076 Hz,low
238.0,49.0,8570.252707581229 Hz,low
239.0,48.5,8605.996389891698 Hz,low
240.0,49.0,8641.740072202167 Hz,low
241.0,47.85714285714286,8677.483754512636 Hz,low
242.0,48.0,8713.227436823105 Hz,low
243.0,49.14285714285714,8748.971119133575 Hz,low
244.0,48.0,8784.714801444044 Hz,low
245.0,48.0,8820.458483754514 Hz,low
246.0,48.5,8856.202166064983 Hz,low
247.0,48.5,8891.945848375452 Hz,low
248.0,48.5,8927.68953068592 Hz,low
249.0,48.5,8963.433212996391 Hz,low
250.0,48.0,8999.17689530686 Hz,low
251.0,48.5,9034.92057761733 Hz,low
252.0,49.0,9070.664259927798 Hz,low
253.0,48.5,9106.407942238267 Hz,low
254.0,48.5,9142.151624548736 Hz,low
255.0,49.0,9177.895306859207 Hz,low
256.0,49.0,9213.638989169676 Hz,low
257.0,49.0,9249.382671480145 Hz,low
258.0,48.0,9285.126353790614 Hz,low
259.0,48.0,9320.870036101083 Hz,low
260.0,48.0,9356.613718411554 Hz,low
261.0,48.5,9392.357400722023 Hz,low
262.0,48.5,9428.101083032492 Hz,low
263.0,48.5,9463.844765342961 Hz,low
264.0,48.5,9499.58844765343 Hz,low
265.0,48.0,9535.3321299639 Hz,low
266.0,48.0,9571.07581227437 Hz,low
267.0,48.0,9606.819494584839 Hz,low
268.0,48.5,9642.563176895308 Hz,low
269.0,48.5,9678.306859205777 Hz,low
270.0,48.0,9714.050541516246 Hz,low
271.0,48.0,9749.794223826715 Hz,low
272.0,47.5,9785.537906137186 Hz,low
273.0,47.5,9821.281588447655 Hz,low
274.0,47.5,9857.025270758124 Hz,low
275.0,48.0,9892.768953068593 Hz,low
276.0,48.0,9928.512635379062 Hz,low
277.0,48.5,9964.256317689531 Hz,low
278.0,48.5,10000.000000000002 Hz,low
6.299921270987695,48.400000000000006,288.4387021806829 Hz,med
6.801945353327008,48.0,306.3828914920242 Hz,med
7.30396943566632,48.0,324.3270808033655 Hz,med
7.805993518005633,48.5,342.2712701147068 Hz,med
8.308017600344945,48.5,360.215459426048 Hz,med
8.810041682684258,48.5,378.1596487373893 Hz,med
9.31206576502357,48.5,396.1038380487306 Hz,med
9.814089847362883,48.5,414.0480273600719 Hz,med
10.316113929702196,48.5,431.9922166714132 Hz,med
10.818138012041508,48.5,449.9364059827545 Hz,med
11.320162094380821,48.5,467.88059529409577 Hz,med
11.822186176720136,48.5,485.8247846054371 Hz,med
12.324210259059448,48.5,503.76897391677835 Hz,med
12.826234341398761,48.5,521.7131632281196 Hz,med
13.328258423738074,48.5,539.6573525394609 Hz,med
13.830282506077387,49.5,557.6015418508023 Hz,med
14.3323065884167,49.5,575.5457311621435 Hz,med
14.834330670756012,49.5,593.4899204734847 Hz,med
15.336354753095325,49.5,611.4341097848261 Hz,med
15.838378835434638,49.5,629.3782990961673 Hz,med
16.34040291777395,50.0,647.3224884075087 Hz,med
16.842427000113265,50.0,665.26667771885 Hz,med
17.344451082452576,49.5,683.2108670301913 Hz,med
17.84647516479189,49.5,701.1550563415326 Hz,med
18.3484992471312,49.0,719.0992456528738 Hz,med
18.850523329470516,49.5,737.0434349642152 Hz,med
19.352547411809827,50.5,754.9876242755564 Hz,med
19.85457149414914,51.099999999999994,772.9318135868978 Hz,med
20.356595576488452,51.900000000000006,790.8760028982389 Hz,med
20.858619658827767,52.55555555555554,808.8201922095802 Hz,med
21.360643741167078,53.77777777777777,826.7643815209215 Hz,med
21.862667823506392,54.0,844.7085708322628 Hz,med
22.364691905845703,52.5,862.652760143604 Hz,med
22.866715988185017,52.0,880.5969494549454 Hz,med
23.368740070524332,49.5,898.5411387662867 Hz,med
23.870764152863643,50.5,916.485328077628 Hz,med
24.372788235202957,52.16666666666666,934.4295173889693 Hz,med
24.87481231754227,52.69230769230768,952.3737067003105 Hz,med
25.376836399881583,52.69230769230768,970.3178960116519 Hz,med
25.878860482220894,54.45454545454547,988.2620853229931 Hz,med
26.38088456456021,57.5,1006.2062746343345 Hz,med
26.88290864689952,56.0,1024.1504639456757 Hz,med
27.384932729238834,55.0,1042.094653257017 Hz,med
27.886956811578145,54.5,1060.0388425683582 Hz,med
28.38898089391746,52.0,1077.9830318796996 Hz,med
28.89100497625677,52.0,1095.9272211910409 Hz,med
29.393029058596085,53.0,1113.8714105023823 Hz,med
29.895053140935396,52.0,1131.8155998137233 Hz,med
30.39707722327471,52.0,1149.7597891250648 Hz,med
30.89910130561402,52.5,1167.703978436406 Hz,med
31.401125387953336,52.69999999999999,1185.6481677477473 Hz,med
31.903149470292647,52.363636363636374,1203.5923570590885 Hz,med
32.40517355263196,52.5,1221.5365463704297 Hz,med
32.907197634971276,51.5,1239.4807356817712 Hz,med
33.40922171731059,50.0,1257.4249249931124 Hz,med
33.9112457996499,50.5,1275.3691143044537 Hz,med
34.41326988198921,52.5,1293.313303615795 Hz,med
34.91529396432853,53.0,1311.2574929271364 Hz,med
35.41731804666784,53.5,1329.2016822384776 Hz,med
35.91934212900715,52.5,1347.1458715498188 Hz,med
36.42136621134646,51.5,1365.09006086116 Hz,med
36.92339029368578,51.0,1383.0342501725015 Hz,med
37.42541437602509,50.0,1400.9784394838427 Hz,med
37.9274384583644,48.5,1418.922628795184 Hz,med
38.42946254070371,48.5,1436.8668181065252 Hz,med
38.93148662304303,48.5,1454.8110074178667 Hz,med
39.43351070538234,48.5,1472.755196729208 Hz,med
39.93553478772165,48.5,1490.6993860405491 Hz,med
40.43755887006096,48.5,1508.6435753518904 Hz,med
40.93958295240028,48.5,1526.5877646632318 Hz,med
41.44160703473959,48.5,1544.531953974573 Hz,med
41.9436311170789,48.5,1562.4761432859143 Hz,med
42.44565519941821,48.5,1580.4203325972555 Hz,med
42.94767928175753,48.5,1598.364521908597 Hz,med
43.44970336409684,48.5,1616.3087112199382 Hz,med
43.95172744643615,48.0,1634.2529005312795 Hz,med
44.45375152877546,47.5,1652.1970898426205 Hz,med
44.95577561111478,48.0,1670.1412791539622 Hz,med
45.45779969345409,48.0,1688.0854684653032 Hz,med
45.9598237757934,48.0,1706.0296577766444 Hz,med
46.461847858132714,47.5,1723.9738470879856 Hz,med
46.96387194047203,48.0,1741.918036399327 Hz,med
47.46589602281134,48.0,1759.8622257106683 Hz,med
47.967920105150654,48.0,1777.8064150220096 Hz,med
48.46994418748997,48.0,1795.750604333351 Hz,med
48.97196826982928,48.0,1813.6947936446923 Hz,med
49.473992352168594,48.0,1831.6389829560335 Hz,med
49.976016434507905,48.0,1849.5831722673747 Hz,med
50.47804051684722,48.0,1867.5273615787162 Hz,med
50.980064599186534,48.5,1885.4715508900574 Hz,med
51.482088681525845,48.0,1903.4157402013986 Hz,med
51.984112763865156,48.0,1921.3599295127399 Hz,med
52.486136846204474,48.5,1939.3041188240813 Hz,med
52.988160928543785,48.5,1957.2483081354226 Hz,med
53.490185010883096,48.5,1975.1924974467638 Hz,med
53.99220909322241,48.0,1993.136686758105 Hz,med
54.494233175561725,48.0,2011.0808760694465 Hz,med
54.996257257901036,47.5,2029.0250653807877 Hz,med
55.49828134024035,48.0,2046.969254692129 Hz,med
56.00030542257966,47.5,2064.9134440034704 Hz,med
56.502329504918976,47.5,2082.8576333148117 Hz,med
57.00435358725829,48.0,2100.801822626153 Hz,med
57.5063776695976,48.5,2118.746011937494 Hz,med
58.00840175193691,48.5,2136.6902012488354 Hz,med
58.51042583427623,48.0,2154.6343905601766 Hz,med
59.01244991661554,47.5,2172.578579871518 Hz,med
59.51447399895485,48.0,2190.522769182859 Hz,med
60.01649808129416,48.0,2208.4669584942003 Hz,med
60.51852216363348,48.0,2226.411147805542 Hz,med
61.02054624597279,48.0,2244.355337116883 Hz,med
61.5225703283121,48.0,2262.2995264282245 Hz,med
62.02459441065141,48.0,2280.2437157395657 Hz,med
62.52661849299073,48.5,2298.187905050907 Hz,med
63.02864257533004,48.5,2316.132094362248 Hz,med
63.53066665766935,48.5,2334.0762836735894 Hz,med
64.03269074000866,48.0,2352.0204729849306 Hz,med
64.53471482234796,48.5,2369.964662296272 Hz,med
65.03673890468728,48.5,2387.908851607613 Hz,med
65.5387629870266,49.0,2405.853040918955 Hz,med
66.0407870693659,49.0,2423.7972302302956 Hz,med
66.54281115170522,49.0,2441.7414195416372 Hz,med
67.04483523404453,48.5,2459.685608852978 Hz,med
67.54685931638384,48.0,2477.6297981643197 Hz,med
68.04888339872316,48.0,2495.573987475661 Hz,med
68.55090748106247,48.0,2513.518176787002 Hz,med
69.05293156340178,48.5,2531.4623660983434 Hz,med
69.5549556457411,48.5,2549.406555409685 Hz,med
70.0569797280804,48.5,2567.350744721026 Hz,med
70.55900381041972,48.5,2585.2949340323676 Hz,med
71.06102789275904,48.5,2603.239123343709 Hz,med
71.56305197509835,48.5,2621.18331265505 Hz,med
72.06507605743766,48.5,2639.1275019663913 Hz,med
72.56710013977697,48.5,2657.071691277732 Hz,med
73.06912422211629,48.5,2675.0158805890737 Hz,med
73.5711483044556,48.5,2692.9600699004154 Hz,med
74.07317238679491,48.0,2710.904259211756 Hz,med
74.57519646913423,48.0,2728.8484485230974 Hz,med
75.07722055147354,48.0,2746.792637834439 Hz,med
75.57924463381285,48.5,2764.73682714578 Hz,med
76.08126871615217,48.0,2782.6810164571216 Hz,med
76.58329279849147,48.0,2800.6252057684624 Hz,med
77.08531688083079,48.0,2818.569395079804 Hz,med
77.5873409631701,48.0,2836.5135843911453 Hz,med
78.08936504550941,47.5,2854.4577737024865 Hz,med
78.59138912784873,48.0,2872.4019630138278 Hz,med
79.09341321018805,48.0,2890.3461523251694 Hz,med
79.59543729252735,48.0,2908.29034163651 Hz,med
80.09746137486667,47.5,2926.234530947852 Hz,med
80.59948545720597,48.0,2944.1787202591927 Hz,med
81.10150953954529,48.5,2962.1229095705344 Hz,med
81.60353362188461,48.5,2980.0670988818756 Hz,med
82.10555770422391,48.5,2998.011288193217 Hz,med
82.60758178656323,48.5,3015.955477504558 Hz,med
83.10960586890255,48.0,3033.8996668158998 Hz,med
83.61162995124185,48.0,3051.8438561272405 Hz,med
84.11365403358117,48.0,3069.7880454385822 Hz,med
84.61567811592047,49.0,3087.732234749923 Hz,med
85.11770219825979,51.0,3105.6764240612647 Hz,med
85.61972628059911,55.0,3123.620613372606 Hz,med
86.12175036293841,59.0,3141.564802683947 Hz,med
86.62377444527773,65.06896551724137,3159.5089919952884 Hz,med
87.12579852761705,70.5,3177.45318130663 Hz,med
87.62782260995635,80.35714285714286,3195.397370617971 Hz,med
88.12984669229567,92.0,3213.3415599293126 Hz,med
88.63187077463498,100.5,3231.2857492406533 Hz,med
89.1338948569743,101.0,3249.229938551995 Hz,med
89.63591893931361,104.5,3267.1741278633363 Hz,med
90.13794302165292,102.5,3285.1183171746775 Hz,med
90.63996710399223,98.58333333333333,3303.0625064860187 Hz,med
91.14199118633155,85.42105263157896,3321.0066957973604 Hz,med
91.64401526867086,80.5,3338.950885108701 Hz,med
92.14603935101017,87.5,3356.895074420043 Hz,med
92.64806343334948,97.225,3374.8392637313837 Hz,med
93.1500875156888,115.5079365079365,3392.783453042725 Hz,med
93.65211159802811,118.69117647058823,3410.7276423540666 Hz,med
94.15413568036742,133.85135135135135,3428.6718316654074 Hz,med
94.65615976270674,141.24561403508773,3446.616020976749 Hz,med
95.15818384504605,147.05405405405406,3464.5602102880903 Hz,med
95.66020792738536,146.0263157894737,3482.5043995994315 Hz,med
96.16223200972468,138.63333333333333,3500.4485889107727 Hz,med
96.664256092064,129.04761904761904,3518.3927782221144 Hz,med
97.1662801744033,140.38709677419354,3536.336967533455 Hz,med
97.66830425674262,142.91176470588235,3554.281156844797 Hz,med
98.17032833908192,145.38888888888889,3572.2253461561377 Hz,med
98.67235242142124,150.63333333333333,3590.1695354674794 Hz,med
99.17437650376056,161.85714285714286,3608.1137247788206 Hz,med
99.67640058609986,177.05263157894737,3626.057914090162 Hz,med
100.17842466843918,183.0,3644.002103401503 Hz,med
100.6804487507785,188.0,3661.9462927128448 Hz,med
101.1824728331178,192.0,3679.8904820241855 Hz,med
101.68449691545712,186.05,3697.834671335527 Hz,med
102.18652099779642,178.0,3715.778860646868 Hz,med
102.68854508013574,177.5,3733.7230499582097 Hz,med
103.19056916247506,169.5,3751.667239269551 Hz,med
103.69259324481436,158.86842105263156,3769.611428580892 Hz,med
104.19461732715368,148.0,3787.5556178922334 Hz,med
104.696641409493,151.0,3805.499807203575 Hz,med
105.1986654918323,149.45833333333331,3823.443996514916 Hz,med
105.70068957417162,140.4090909090909,3841.3881858262575 Hz,med
106.20271365651092,135.0,3859.3323751375983 Hz,med
106.70473773885024,131.16981132075472,3877.27656444894 Hz,med
107.20676182118956,127.06382978723404,3895.2207537602812 Hz,med
107.70878590352886,115.66666666666667,3913.1649430716225 Hz,med
108.21080998586818,109.0,3931.1091323829637 Hz,med
108.7128340682075,103.6,3949.0533216943054 Hz,med
109.2148581505468,91.97777777777779,3966.997511005646 Hz,med
109.71688223288612,85.46938775510205,3984.941700316988 Hz,med
110.21890631522542,75.34375,4002.8858896283286 Hz,med
110.72093039756474,64.68181818181819,4020.8300789396703 Hz,med
111.22295447990406,59.58333333333334,4038.7742682510116 Hz,med
111.72497856224336,57.5,4056.718457562353 Hz,med
112.22700264458268,55.0,4074.662646873694 Hz,med
112.729026726922,53.5,4092.6068361850357 Hz,med
113.2310508092613,50.0,4110.5510254963765 Hz,med
113.73307489160062,48.5,4128.495214807718 Hz,med
114.23509897393993,48.5,4146.439404119059 Hz,med
114.73712305627924,48.5,4164.383593430401 Hz,med
115.23914713861856,48.0,4182.327782741742 Hz,med
115.74117122095787,48.0,4200.271972053083 Hz,med
116.24319530329718,48.0,4218.216161364424 Hz,med
116.7452193856365,47.5,4236.160350675766 Hz,med
117.2472434679758,47.5,4254.104539987106 Hz,med
117.74926755031512,48.0,4272.048729298448 Hz,med
118.25129163265443,47.5,4289.992918609789 Hz,med
118.75331571499375,48.0,4307.9371079211305 Hz,med
119.25533979733306,47.5,4325.881297232472 Hz,med
119.75736387967237,48.0,4343.825486543813 Hz,med
120.25938796201169,48.0,4361.769675855155 Hz,med
120.761412044351,48.0,4379.713865166496 Hz,med
121.26343612669031,47.5,4397.658054477837 Hz,med
121.76546020902963,48.0,4415.602243789179 Hz,med
122.26748429136894,47.5,4433.54643310052 Hz,med
122.76950837370825,48.0,4451.490622411861 Hz,med
123.27153245604757,47.5,4469.434811723202 Hz,med
123.77355653838687,47.5,4487.379001034544 Hz,med
124.27558062072619,48.0,4505.3231903458845 Hz,med
124.7776047030655,48.0,4523.267379657226 Hz,med
125.27962878540481,48.0,4541.211568968567 Hz,med
125.78165286774413,48.0,4559.155758279909 Hz,med
126.28367695008345,47.5,4577.09994759125 Hz,med
126.78570103242275,47.5,4595.044136902591 Hz,med
127.28772511476207,48.0,4612.988326213933 Hz,med
127.78974919710137,47.5,4630.932515525274 Hz,med
128.2917732794407,47.5,4648.876704836615 Hz,med
128.79379736178,47.5,4666.820894147957 Hz,med
129.29582144411933,47.5,4684.765083459298 Hz,med
129.79784552645864,48.5,4702.7092727706395 Hz,med
130.29986960879796,48.5,4720.653462081981 Hz,med
130.80189369113728,48.5,4738.597651393323 Hz,med
131.30391777347657,47.5,4756.541840704663 Hz,med
131.8059418558159,48.0,4774.486030016004 Hz,med
132.3079659381552,48.0,4792.430219327346 Hz,med
132.80999002049452,47.5,4810.374408638688 Hz,med
133.31201410283384,48.0,4828.318597950029 Hz,med
133.81403818517313,48.0,4846.262787261369 Hz,med
134.31606226751245,47.0,4864.206976572711 Hz,med
134.81808634985177,47.0,4882.151165884053 Hz,med
135.3201104321911,48.0,4900.0953551953935 Hz,med
135.8221345145304,48.0,4918.039544506735 Hz,med
136.32415859686972,48.5,4935.983733818077 Hz,med
136.826182679209,48.5,4953.927923129417 Hz,med
137.32820676154833,49.0,4971.872112440758 Hz,med
137.83023084388765,49.0,4989.8163017521 Hz,med
138.33225492622697,49.0,5007.760491063442 Hz,med
138.83427900856628,49.0,5025.7046803747835 Hz,med
139.33630309090557,48.5,5043.648869686123 Hz,med
139.8383271732449,48.0,5061.593058997465 Hz,med
140.3403512555842,48.0,5079.537248308807 Hz,med
140.84237533792353,48.0,5097.4814376201475 Hz,med
141.34439942026285,47.5,5115.425626931489 Hz,med
141.84642350260216,47.5,5133.369816242831 Hz,med
142.34844758494145,48.0,5151.314005554172 Hz,med
142.85047166728077,48.0,5169.258194865512 Hz,med
143.3524957496201,48.0,5187.202384176854 Hz,med
143.8545198319594,47.5,5205.146573488196 Hz,med
144.35654391429873,47.5,5223.0907627995375 Hz,med
144.85856799663802,48.0,5241.034952110877 Hz,med
145.36059207897733,48.0,5258.979141422219 Hz,med
63.54377755259003,47.75,2334.54491533644 Hz,high
63.74547614287217,48.0,2341.7543656699545 Hz,high
63.94717473315431,48.0,2348.963816003469 Hz,high
64.14887332343646,48.0,2356.1732663369835 Hz,high
64.3505719137186,48.0,2363.3827166704978 Hz,high
64.55227050400075,48.0,2370.5921670040125 Hz,high
64.7539690942829,48.0,2377.801617337527 Hz,high
